date,prediction,sentiment
2024-05-25,3738.8551392495633,0.5488
2024-05-26,3773.6300149559975,0.28948999999999997
2024-05-27,3807.093744175434,0.35685
2024-05-28,3786.0127203679085,0.41353999999999996
2024-05-29,3738.0999896645544,0.44928
2024-05-30,3720.2616322863105,0.38613
2024-05-31,3721.3001537048817,0.11512000000000003
2024-06-01,3753.2420932447912,0.30489
2024-06-02,3743.3620685225724,0.30563
2024-06-03,3741.906486797333,0.36586
2024-06-04,3777.8201367187503,0.4650200000000001
2024-06-05,3818.9490556001665,0.6246700000000001
2024-06-06,3804.655952501297,0.34990000000000004
2024-06-07,3736.416857452393,0.07241
2024-06-08,3728.905966081619,0.34852999999999995
2024-06-09,3735.71546674788,0.22713
2024-06-10,3716.8678648233417,0.14631
2024-06-11,3585.34312794745,0.37709000000000004
2024-06-12,3612.9323241311313,0.31097
2024-06-13,3527.043498700857,0.22023
2024-06-14,3514.511237152815,0.09565999999999998
2024-06-15,3564.9534984117745,0.11789999999999998
2024-06-16,3627.7334073781967,0.03585000000000001
2024-06-17,3547.937235451937,0.07414999999999998
2024-06-18,3520.0406311661004,0.29985
2024-06-19,3570.2153324538467,0.17643999999999999
2024-06-20,3540.3414986753464,0.20359
2024-06-21,3539.99447529912,0.23768000000000003
2024-06-22,3521.1304199361803,0.4547800000000001
2024-06-23,3462.489850015342,0.17745
2024-06-24,3379.38571842283,0.0
